Name: Maiden Street, Instruction: Head south on Maiden Street, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 255.1 meters, Time: 183.6 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 423.7 meters, Time: 305.1 seconds
Name: -, Instruction: Turn slight left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.7 seconds
Name: -, Instruction: Turn slight left, Distance: 403.6 meters, Time: 290.6 seconds
Name: -, Instruction: Turn right, Distance: 325.7 meters, Time: 234.5 seconds
Name: -, Instruction: Keep left, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Keep right, Distance: 434.0 meters, Time: 312.5 seconds
Name: -, Instruction: Turn right, Distance: 258.4 meters, Time: 186.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 151.9 meters, Time: 109.4 seconds
Name: -, Instruction: Turn right, Distance: 28.0 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 231.6 meters, Time: 166.8 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 335.5 meters, Time: 241.6 seconds
Name: -, Instruction: Turn left, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 422.9 meters, Time: 304.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
