Name: Glenlake Avenue, Instruction: Head east on Glenlake Avenue, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 382.4 meters, Time: 275.3 seconds
Name: -, Instruction: Keep left, Distance: 56.7 meters, Time: 40.9 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Keep left, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: Indian Grove, Instruction: Turn left onto Indian Grove, Distance: 35.9 meters, Time: 25.9 seconds
Name: -, Instruction: Turn right, Distance: 306.1 meters, Time: 220.4 seconds
Name: -, Instruction: Keep left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn slight left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn right, Distance: 234.3 meters, Time: 168.7 seconds
Name: -, Instruction: Keep right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn slight right, Distance: 945.9 meters, Time: 681.1 seconds
Name: Emerson Avenue, Instruction: Turn left onto Emerson Avenue, Distance: 48.5 meters, Time: 35.0 seconds
Name: -, Instruction: Arrive at Emerson Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
