Name: Beco Jardim, Instruction: Head west on Beco Jardim, Distance: 149.5 meters, Time: 107.7 seconds
Name: Estrada dos Sete Riachos, Instruction: Turn right onto Estrada dos Sete Riachos, Distance: 119.5 meters, Time: 86.1 seconds
Name: -, Instruction: Turn left, Distance: 74.3 meters, Time: 53.5 seconds
Name: -, Instruction: Keep right, Distance: 137.7 meters, Time: 99.1 seconds
Name: Rua Emanuel, Instruction: Turn right onto Rua Emanuel, Distance: 70.1 meters, Time: 50.5 seconds
Name: Estrada dos Sete Riachos, Instruction: Turn left onto Estrada dos Sete Riachos, Distance: 171.8 meters, Time: 123.7 seconds
Name: -, Instruction: Turn right, Distance: 90.8 meters, Time: 65.4 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.2 seconds
Name: Estrada dos Sete Riachos, Instruction: Turn right onto Estrada dos Sete Riachos, Distance: 448.0 meters, Time: 322.5 seconds
Name: Rua Caiara, Instruction: Turn sharp left onto Rua Caiara, Distance: 33.5 meters, Time: 24.1 seconds
Name: Estrada dos Sete Riachos, Instruction: Turn right onto Estrada dos Sete Riachos, Distance: 64.1 meters, Time: 46.2 seconds
Name: -, Instruction: Turn left, Distance: 118.4 meters, Time: 85.3 seconds
Name: Estrada dos Sete Riachos, Instruction: Turn right onto Estrada dos Sete Riachos, Distance: 123.7 meters, Time: 89.0 seconds
Name: -, Instruction: Turn left, Distance: 137.4 meters, Time: 98.9 seconds
Name: -, Instruction: Turn left, Distance: 37.5 meters, Time: 27.0 seconds
Name: Caminho dos Abieiros, Instruction: Turn sharp right onto Caminho dos Abieiros, Distance: 112.3 meters, Time: 80.8 seconds
Name: -, Instruction: Arrive at Caminho dos Abieiros, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
