Name: Ilmmünsterstraße, Instruction: Head north on Ilmmünsterstraße, Distance: 377.3 meters, Time: 271.6 seconds
Name: -, Instruction: Turn left, Distance: 81.8 meters, Time: 58.9 seconds
Name: Berchemstraße, Instruction: Turn right onto Berchemstraße, Distance: 2.8 meters, Time: 2.0 seconds
Name: Camerloherstraße, Instruction: Turn left onto Camerloherstraße, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 120.5 meters, Time: 86.8 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: Fürstenrieder Straße, Instruction: Turn right onto Fürstenrieder Straße, Distance: 225.5 meters, Time: 162.3 seconds
Name: -, Instruction: Turn left, Distance: 62.1 meters, Time: 44.7 seconds
Name: Joergstraße, Instruction: Turn right onto Joergstraße, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Turn left, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Keep right, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Keep left, Distance: 121.5 meters, Time: 87.5 seconds
Name: -, Instruction: Turn left, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Turn right, Distance: 65.8 meters, Time: 47.4 seconds
Name: Valpichlerstraße, Instruction: Turn left onto Valpichlerstraße, Distance: 21.5 meters, Time: 15.5 seconds
Name: Riegerhofstraße, Instruction: Turn right onto Riegerhofstraße, Distance: 35.2 meters, Time: 25.4 seconds
Name: Valpichlerstraße, Instruction: Turn left onto Valpichlerstraße, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: Mathunistraße, Instruction: Turn left onto Mathunistraße, Distance: 80.5 meters, Time: 57.9 seconds
Name: Ossietzkystraße, Instruction: Turn right onto Ossietzkystraße, Distance: 109.6 meters, Time: 78.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 471.4 meters, Time: 339.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
