Name: Connaught Gardens, Instruction: Head south on Connaught Gardens, Distance: 213.8 meters, Time: 153.9 seconds
Name: -, Instruction: Turn slight left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Turn slight right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Keep right, Distance: 159.7 meters, Time: 115.0 seconds
Name: -, Instruction: Turn right, Distance: 35.9 meters, Time: 25.8 seconds
Name: -, Instruction: Turn slight right, Distance: 253.3 meters, Time: 182.4 seconds
Name: Queenswood Road, Instruction: Turn right onto Queenswood Road, Distance: 36.3 meters, Time: 26.2 seconds
Name: -, Instruction: Turn left, Distance: 203.4 meters, Time: 146.4 seconds
Name: Priory Gardens, Instruction: Turn left onto Priory Gardens, Distance: 94.4 meters, Time: 68.0 seconds
Name: Shepherds Hill, Instruction: Turn left onto Shepherds Hill, Distance: 135.9 meters, Time: 97.9 seconds
Name: Stanhope Road, Instruction: Turn right onto Stanhope Road, Distance: 663.1 meters, Time: 477.4 seconds
Name: Hornsey Lane, B540, Instruction: Turn right onto Hornsey Lane, B540, Distance: 2.5 meters, Time: 1.8 seconds
Name: Ashmount Road, Instruction: Turn left onto Ashmount Road, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Turn left, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Turn right, Distance: 56.1 meters, Time: 40.4 seconds
Name: -, Instruction: Turn left, Distance: 28.1 meters, Time: 20.3 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 90.1 meters, Time: 64.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
