Name: Forge Way, Instruction: Head southwest on Forge Way, Distance: 82.4 meters, Time: 59.3 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn slight left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 264.4 meters, Time: 190.4 seconds
Name: -, Instruction: Turn slight right, Distance: 85.7 meters, Time: 61.7 seconds
Name: AMETI Shared Path, Instruction: Turn right onto AMETI Shared Path, Distance: 132.3 meters, Time: 95.2 seconds
Name: -, Instruction: Keep left, Distance: 114.2 meters, Time: 82.2 seconds
Name: AMETI Shared Path, Instruction: Continue straight onto AMETI Shared Path, Distance: 715.7 meters, Time: 515.3 seconds
Name: AMETI Shared Path, Instruction: Continue straight onto AMETI Shared Path, Distance: 115.2 meters, Time: 82.9 seconds
Name: -, Instruction: Turn left, Distance: 26.2 meters, Time: 18.8 seconds
Name: Bridge Street, Instruction: Turn left onto Bridge Street, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Arrive at Bridge Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
