Name: Graham Street, Instruction: Head south on Graham Street, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 67.6 meters, Time: 48.6 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: Victoria Street West Cycleway, Instruction: Turn sharp left onto Victoria Street West Cycleway, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 95.9 meters, Time: 69.1 seconds
Name: -, Instruction: Keep left, Distance: 25.2 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Turn right, Distance: 84.6 meters, Time: 60.9 seconds
Name: Federal Street, Instruction: Turn right onto Federal Street, Distance: 131.9 meters, Time: 94.9 seconds
Name: -, Instruction: Turn left, Distance: 244.8 meters, Time: 176.2 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn left, Distance: 123.4 meters, Time: 88.8 seconds
Name: -, Instruction: Keep left, Distance: 62.3 meters, Time: 44.8 seconds
Name: -, Instruction: Turn left, Distance: 312.6 meters, Time: 225.0 seconds
Name: -, Instruction: Turn slight right, Distance: 101.4 meters, Time: 73.0 seconds
Name: -, Instruction: Turn left, Distance: 174.5 meters, Time: 125.6 seconds
Name: Whitaker Place, Instruction: Turn slight left onto Whitaker Place, Distance: 45.5 meters, Time: 32.8 seconds
Name: -, Instruction: Arrive at Whitaker Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
