Name: Choa Chu Kang Street 51, Instruction: Head east on Choa Chu Kang Street 51, Distance: 139.2 meters, Time: 100.2 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 109.1 meters, Time: 78.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 58.4 meters, Time: 42.0 seconds
Name: -, Instruction: Turn right, Distance: 104.9 meters, Time: 75.6 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 8.0 seconds
Name: Choa Chu Kang North Park Connector, Instruction: Continue straight onto Choa Chu Kang North Park Connector, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn slight right, Distance: 145.4 meters, Time: 104.7 seconds
Name: -, Instruction: Turn left, Distance: 236.0 meters, Time: 169.9 seconds
Name: -, Instruction: Turn left, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 131.9 meters, Time: 94.9 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.5 seconds
Name: -, Instruction: Keep right, Distance: 20.2 meters, Time: 14.6 seconds
Name: Choa Chu Kang Park Connector, Instruction: Turn right onto Choa Chu Kang Park Connector, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 102.0 meters, Time: 73.4 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn slight right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 175.8 meters, Time: 126.5 seconds
Name: -, Instruction: Turn right, Distance: 221.1 meters, Time: 159.2 seconds
Name: -, Instruction: Continue straight, Distance: 230.5 meters, Time: 166.0 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 160.6 meters, Time: 115.6 seconds
Name: -, Instruction: Turn left, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn slight right, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Continue straight, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 161.9 meters, Time: 116.6 seconds
Name: -, Instruction: Turn left, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
