Name: Rawson Road, Instruction: Head east on Rawson Road, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 108.0 meters, Time: 77.8 seconds
Name: Hewitt Street, Instruction: Turn left onto Hewitt Street, Distance: 297.3 meters, Time: 214.0 seconds
Name: -, Instruction: Turn left, Distance: 143.8 meters, Time: 103.5 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn slight left, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.0 seconds
Name: Roberts Road, A3, Instruction: Turn right onto Roberts Road, A3, Distance: 209.8 meters, Time: 151.1 seconds
Name: Mayvic Street, Instruction: Turn right onto Mayvic Street, Distance: 308.7 meters, Time: 222.2 seconds
Name: Wentworth Street, Instruction: Turn right onto Wentworth Street, Distance: 251.7 meters, Time: 181.3 seconds
Name: Mainline Road, Instruction: Turn left onto Mainline Road, Distance: 329.8 meters, Time: 237.4 seconds
Name: Mainline Road, Instruction: Keep right onto Mainline Road, Distance: 99.0 meters, Time: 71.3 seconds
Name: Turnout Drive, Instruction: Turn right onto Turnout Drive, Distance: 211.8 meters, Time: 152.5 seconds
Name: Cosgrove Road, Instruction: Continue straight onto Cosgrove Road, Distance: 69.8 meters, Time: 50.2 seconds
Name: Cosgrove Road, Instruction: Enter the roundabout and take the 1st exit onto Cosgrove Road, Distance: 280.9 meters, Time: 202.2 seconds
Name: Cosgrove Road, Instruction: Enter the roundabout and take the 1st exit onto Cosgrove Road, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Keep right, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
