Name: Bridge Street, Instruction: Head southeast on Bridge Street, Distance: 72.6 meters, Time: 52.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn slight left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Keep left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Keep left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Keep left, Distance: 336.2 meters, Time: 242.1 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Keep right, Distance: 413.0 meters, Time: 297.4 seconds
Name: -, Instruction: Turn left, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 870.5 meters, Time: 626.8 seconds
Name: Pine Lane, Instruction: Turn left onto Pine Lane, Distance: 98.2 meters, Time: 70.7 seconds
Name: Pine Street, Instruction: Turn right onto Pine Street, Distance: 96.8 meters, Time: 69.7 seconds
Name: Hillman Avenue, Instruction: Enter the roundabout and take the 1st exit onto Hillman Avenue, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 306.6 meters, Time: 220.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
