Name: Franz-Wolter-Straße, Instruction: Head northeast on Franz-Wolter-Straße, Distance: 51.4 meters, Time: 37.0 seconds
Name: Otto-Merkt-Weg, Instruction: Turn right onto Otto-Merkt-Weg, Distance: 217.4 meters, Time: 156.5 seconds
Name: Otto-Merkt-Weg, Instruction: Turn right onto Otto-Merkt-Weg, Distance: 11.9 meters, Time: 8.6 seconds
Name: Fritz-Meyer-Weg, Instruction: Turn left onto Fritz-Meyer-Weg, Distance: 118.1 meters, Time: 85.0 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 123.7 meters, Time: 89.1 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Continue straight, Distance: 125.9 meters, Time: 90.7 seconds
Name: Regina-Ullmann-Straße, Instruction: Turn right onto Regina-Ullmann-Straße, Distance: 89.5 meters, Time: 64.4 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Continue straight, Distance: 102.0 meters, Time: 73.5 seconds
Name: -, Instruction: Keep left, Distance: 50.0 meters, Time: 36.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
