Name: Belle Verde Drive, Instruction: Head northeast on Belle Verde Drive, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 213.9 meters, Time: 154.0 seconds
Name: -, Instruction: Turn slight left, Distance: 309.6 meters, Time: 222.9 seconds
Name: Gary Crescent, Instruction: Turn slight left onto Gary Crescent, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 92.0 meters, Time: 66.3 seconds
Name: -, Instruction: Turn left, Distance: 28.4 meters, Time: 20.5 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: Regency Place, Instruction: Turn left onto Regency Place, Distance: 151.0 meters, Time: 108.7 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 257.7 meters, Time: 185.6 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 56.3 meters, Time: 40.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
