Name: Roebuck Crescent, Instruction: Head southeast on Roebuck Crescent, Distance: 225.9 meters, Time: 162.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 84.1 meters, Time: 60.6 seconds
Name: Captian Cook Drive, Instruction: Turn right onto Captian Cook Drive, Distance: 54.4 meters, Time: 39.2 seconds
Name: Captain Cook Drive, Instruction: Turn left onto Captain Cook Drive, Distance: 26.2 meters, Time: 18.9 seconds
Name: Resolution Avenue, Instruction: Turn right onto Resolution Avenue, Distance: 100.2 meters, Time: 72.2 seconds
Name: -, Instruction: Turn right, Distance: 49.5 meters, Time: 35.7 seconds
Name: -, Instruction: Turn left, Distance: 312.8 meters, Time: 225.2 seconds
Name: -, Instruction: Turn left, Distance: 364.8 meters, Time: 262.6 seconds
Name: -, Instruction: Keep left, Distance: 158.7 meters, Time: 114.2 seconds
Name: -, Instruction: Keep right, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
