Name: Merchants Way, Instruction: Head northwest on Merchants Way, Distance: 159.2 meters, Time: 114.6 seconds
Name: Ace Way, Instruction: Turn left onto Ace Way, Distance: 6.8 meters, Time: 4.9 seconds
Name: Ponton Road, Instruction: Turn right onto Ponton Road, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 101.3 meters, Time: 72.9 seconds
Name: -, Instruction: Turn left, Distance: 69.1 meters, Time: 49.7 seconds
Name: New Union Square, Instruction: Turn right onto New Union Square, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn left, Distance: 70.8 meters, Time: 51.0 seconds
Name: New Mill Road, Instruction: Turn right onto New Mill Road, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Turn left, Distance: 163.3 meters, Time: 117.5 seconds
Name: Moat Street, Instruction: Turn right onto Moat Street, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 132.8 meters, Time: 95.6 seconds
Name: -, Instruction: Turn slight right, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.9 seconds
Name: Pump House Lane, Instruction: Continue straight onto Pump House Lane, Distance: 47.6 meters, Time: 34.2 seconds
Name: Pump House Lane, Instruction: Keep left onto Pump House Lane, Distance: 171.8 meters, Time: 123.7 seconds
Name: -, Instruction: Keep left, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
