Name: Avenue Grande, Instruction: Head southeast on Avenue Grande, Distance: 104.4 meters, Time: 75.2 seconds
Name: Barmbeck Avenue, Instruction: Turn right onto Barmbeck Avenue, Distance: 105.7 meters, Time: 76.1 seconds
Name: Thibault Avenue, Instruction: Turn left onto Thibault Avenue, Distance: 363.4 meters, Time: 261.6 seconds
Name: Bucksburn Road, Instruction: Turn left onto Bucksburn Road, Distance: 180.6 meters, Time: 130.0 seconds
Name: Colinton Road, Instruction: Turn right onto Colinton Road, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 197.0 meters, Time: 141.8 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 110.8 meters, Time: 79.8 seconds
Name: -, Instruction: Keep right, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: Vineyard Road, Instruction: Turn right onto Vineyard Road, Distance: 175.5 meters, Time: 126.4 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: Dreyer Street, Instruction: Turn right onto Dreyer Street, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 167.5 meters, Time: 120.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.4 meters, Time: 5.3 seconds
Name: Warwick Street, Instruction: Turn left onto Warwick Street, Distance: 9.0 meters, Time: 6.4 seconds
Name: Main Road, M4, Instruction: Turn right onto Main Road, M4, Distance: 87.6 meters, Time: 63.1 seconds
Name: Ralph Street, Instruction: Turn left onto Ralph Street, Distance: 76.6 meters, Time: 55.1 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
