Name: Passage Foubert, Instruction: Head south on Passage Foubert, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 58.1 meters, Time: 41.8 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn slight left, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Rue du Moulin des Prés, Instruction: Turn left onto Rue du Moulin des Prés, Distance: 166.2 meters, Time: 119.7 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn slight right, Distance: 4.2 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 109.7 meters, Time: 78.9 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: Rue Jonas, Instruction: Turn right onto Rue Jonas, Distance: 88.6 meters, Time: 63.8 seconds
Name: Rue Eugène Atget, Instruction: Turn right onto Rue Eugène Atget, Distance: 117.4 meters, Time: 84.5 seconds
Name: -, Instruction: Turn left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 145.1 meters, Time: 104.4 seconds
Name: -, Instruction: Turn slight left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 63.7 meters, Time: 45.8 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
