Name: Treitschkestraße, Instruction: Head east on Treitschkestraße, Distance: 51.2 meters, Time: 36.8 seconds
Name: Meggendorferstraße, Instruction: Turn left onto Meggendorferstraße, Distance: 429.1 meters, Time: 308.9 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: Scharnhorststraße, Instruction: Turn right onto Scharnhorststraße, Distance: 140.1 meters, Time: 100.9 seconds
Name: -, Instruction: Turn left, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Turn right, Distance: 27.6 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 175.6 meters, Time: 126.4 seconds
Name: Oskar-Barnack-Straße, Instruction: Turn left onto Oskar-Barnack-Straße, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 326.5 meters, Time: 235.1 seconds
Name: -, Instruction: Turn left, Distance: 144.9 meters, Time: 104.3 seconds
Name: -, Instruction: Keep right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 43.8 meters, Time: 31.5 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
