Name: Maryvale Road, Instruction: Head south on Maryvale Road, Distance: 7.8 meters, Time: 5.6 seconds
Name: Lordland Road, Instruction: Turn left onto Lordland Road, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 129.2 meters, Time: 93.0 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 136.8 meters, Time: 98.5 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Carthey Road, Instruction: Turn right onto Carthey Road, Distance: 61.6 meters, Time: 44.3 seconds
Name: Snowden Road, Instruction: Turn left onto Snowden Road, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 101.6 meters, Time: 73.1 seconds
Name: Siren Street, Instruction: Turn left onto Siren Street, Distance: 6.1 meters, Time: 4.4 seconds
Name: Ahutoetoe Road, Instruction: Turn right onto Ahutoetoe Road, Distance: 67.0 meters, Time: 48.2 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Continue straight, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Continue straight, Distance: 50.9 meters, Time: 36.7 seconds
Name: -, Instruction: Turn slight left, Distance: 97.2 meters, Time: 70.0 seconds
Name: -, Instruction: Keep left, Distance: 274.5 meters, Time: 197.6 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: Highgate Parkway, Instruction: Turn left onto Highgate Parkway, Distance: 48.0 meters, Time: 34.6 seconds
Name: Colin Chester Drive, Instruction: Turn right onto Colin Chester Drive, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 394.2 meters, Time: 283.8 seconds
Name: -, Instruction: Keep left, Distance: 220.1 meters, Time: 158.5 seconds
Name: -, Instruction: Turn slight left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.4 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn slight right, Distance: 214.0 meters, Time: 154.1 seconds
Name: -, Instruction: Turn left, Distance: 196.2 meters, Time: 141.2 seconds
Name: -, Instruction: Turn right, Distance: 241.6 meters, Time: 174.0 seconds
Name: -, Instruction: Keep left, Distance: 11.3 meters, Time: 8.1 seconds
Name: Auger Lane, Instruction: Turn left onto Auger Lane, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Arrive at Auger Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
