Name: Rue Le Brun, Instruction: Head north on Rue Le Brun, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Keep right, Distance: 1.2 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Turn slight right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn slight left, Distance: 66.3 meters, Time: 47.8 seconds
Name: -, Instruction: Keep right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.1 seconds
Name: Rue de la Collégiale, Instruction: Turn right onto Rue de la Collégiale, Distance: 169.3 meters, Time: 121.9 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: Place Claude Sautet, Instruction: Keep left onto Place Claude Sautet, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Keep left, Distance: 8.9 meters, Time: 6.4 seconds
Name: Rue de Bazeilles, Instruction: Turn right onto Rue de Bazeilles, Distance: 52.8 meters, Time: 38.0 seconds
Name: Rue Mouffetard, Instruction: Enter the roundabout and take the 2nd exit onto Rue Mouffetard, Distance: 26.8 meters, Time: 19.3 seconds
Name: Rue Édouard Quénu, Instruction: Turn left onto Rue Édouard Quénu, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 170.8 meters, Time: 123.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn slight left, Distance: 126.8 meters, Time: 91.3 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Keep right, Distance: 10.8 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: Rue Lhomond, Instruction: Turn right onto Rue Lhomond, Distance: 459.0 meters, Time: 330.4 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 131.1 meters, Time: 94.4 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn slight right, Distance: 1.2 meters, Time: 0.8 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn left, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
