Name: Harris Street, Instruction: Head north on Harris Street, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 404.8 meters, Time: 291.4 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 117.1 meters, Time: 84.3 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 67.4 meters, Time: 48.5 seconds
Name: Macquarie Street, Instruction: Turn left onto Macquarie Street, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn slight right, Distance: 112.0 meters, Time: 80.7 seconds
Name: -, Instruction: Turn slight left, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Keep left, Distance: 154.9 meters, Time: 111.5 seconds
Name: -, Instruction: Continue straight, Distance: 644.3 meters, Time: 463.9 seconds
Name: Victoria Road, Instruction: Turn left onto Victoria Road, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight right, Distance: 298.3 meters, Time: 214.8 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: Buller Street, Instruction: Turn right onto Buller Street, Distance: 91.5 meters, Time: 65.9 seconds
Name: Fennell Street, Instruction: Enter the roundabout and take the 1st exit onto Fennell Street, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
