Name: Grange Avenue, Instruction: Head west on Grange Avenue, Distance: 130.4 meters, Time: 93.9 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 33.2 meters, Time: 23.9 seconds
Name: Napanee Court, Instruction: Turn right onto Napanee Court, Distance: 86.5 meters, Time: 62.3 seconds
Name: Vanauley Walk, Instruction: Turn left onto Vanauley Walk, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn right, Distance: 55.4 meters, Time: 39.9 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 121.2 meters, Time: 87.3 seconds
Name: -, Instruction: Turn right, Distance: 66.8 meters, Time: 48.1 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 116.0 meters, Time: 83.5 seconds
Name: -, Instruction: Turn left, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: Ryerson Avenue, Instruction: Turn left onto Ryerson Avenue, Distance: 7.9 meters, Time: 5.7 seconds
Name: Ace Lane, Instruction: Turn right onto Ace Lane, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn right, Distance: 147.3 meters, Time: 106.0 seconds
Name: -, Instruction: Keep left, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 199.3 meters, Time: 143.5 seconds
Name: -, Instruction: Turn right, Distance: 148.7 meters, Time: 107.1 seconds
Name: -, Instruction: Turn right, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: Adelaide Street West, Instruction: Turn right onto Adelaide Street West, Distance: 81.2 meters, Time: 58.5 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 210.9 meters, Time: 151.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 139.6 meters, Time: 100.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
