Name: De Boerin Street, Instruction: Head northwest on De Boerin Street, Distance: 154.0 meters, Time: 110.9 seconds
Name: Bothma Street, Instruction: Turn right onto Bothma Street, Distance: 314.3 meters, Time: 226.3 seconds
Name: Coornhoop Street, Instruction: Turn right onto Coornhoop Street, Distance: 602.0 meters, Time: 433.4 seconds
Name: -, Instruction: Turn right, Distance: 54.1 meters, Time: 38.9 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: Letchworth Drive, Instruction: Turn right onto Letchworth Drive, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: Letchworth Drive, Instruction: Turn right onto Letchworth Drive, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 105.0 meters, Time: 75.6 seconds
Name: Louis Thibault Drive, Instruction: Turn left onto Louis Thibault Drive, Distance: 666.5 meters, Time: 479.9 seconds
Name: Mitchell's Way, Instruction: Turn left onto Mitchell's Way, Distance: 128.5 meters, Time: 92.5 seconds
Name: Hiddingh Square, Instruction: Turn right onto Hiddingh Square, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Arrive at Hiddingh Square, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
