Name: Lochhamer Straße, Instruction: Head north on Lochhamer Straße, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 200.5 meters, Time: 144.4 seconds
Name: -, Instruction: Turn slight left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 428.6 meters, Time: 308.6 seconds
Name: Großhaderner Straße, Instruction: Turn sharp left onto Großhaderner Straße, Distance: 192.6 meters, Time: 138.7 seconds
Name: -, Instruction: Turn right, Distance: 38.4 meters, Time: 27.7 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Turn left, Distance: 82.4 meters, Time: 59.3 seconds
Name: -, Instruction: Turn right, Distance: 91.6 meters, Time: 66.0 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 172.9 meters, Time: 124.5 seconds
Name: -, Instruction: Keep right, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn slight left, Distance: 48.3 meters, Time: 34.8 seconds
Name: Am Anger, Instruction: Turn right onto Am Anger, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
