Name: Rosenstraße, Instruction: Head east on Rosenstraße, Distance: 88.2 meters, Time: 63.5 seconds
Name: Karl-Stieler-Straße, Instruction: Turn right onto Karl-Stieler-Straße, Distance: 168.3 meters, Time: 121.2 seconds
Name: Lena-Christ-Straße, Instruction: Turn left onto Lena-Christ-Straße, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Keep left, Distance: 32.9 meters, Time: 23.7 seconds
Name: Ludwig-Ganghofer-Straße, Instruction: Turn slight left onto Ludwig-Ganghofer-Straße, Distance: 2.1 meters, Time: 1.5 seconds
Name: Ludwig-Ganghofer-Straße, Instruction: Keep right onto Ludwig-Ganghofer-Straße, Distance: 8.4 meters, Time: 6.0 seconds
Name: Ludwig-Ganghofer-Straße, Instruction: Turn left onto Ludwig-Ganghofer-Straße, Distance: 197.1 meters, Time: 141.9 seconds
Name: -, Instruction: Turn left, Distance: 20.0 meters, Time: 14.4 seconds
Name: Krenmoosstraße, Instruction: Turn left onto Krenmoosstraße, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Keep left, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Keep left, Distance: 79.2 meters, Time: 57.1 seconds
Name: -, Instruction: Turn left, Distance: 47.7 meters, Time: 34.4 seconds
Name: -, Instruction: Keep left, Distance: 289.0 meters, Time: 208.0 seconds
Name: Feldstraße, Instruction: Turn right onto Feldstraße, Distance: 123.5 meters, Time: 88.9 seconds
Name: -, Instruction: Arrive at Feldstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
