Name: Gul Crescent, Instruction: Head east on Gul Crescent, Distance: 421.3 meters, Time: 303.3 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 152.5 meters, Time: 109.8 seconds
Name: Gul Circle, Instruction: Turn right onto Gul Circle, Distance: 400.6 meters, Time: 288.4 seconds
Name: -, Instruction: Keep right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 344.0 meters, Time: 247.6 seconds
Name: -, Instruction: Turn left, Distance: 805.9 meters, Time: 580.3 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
