Name: Pukerangi Crescent, Instruction: Head west on Pukerangi Crescent, Distance: 198.9 meters, Time: 143.2 seconds
Name: Ladies Mile, Instruction: Turn sharp right onto Ladies Mile, Distance: 38.4 meters, Time: 27.6 seconds
Name: Morrin Street, Instruction: Turn left onto Morrin Street, Distance: 718.5 meters, Time: 517.3 seconds
Name: Mitchelson Street, Instruction: Turn right onto Mitchelson Street, Distance: 383.6 meters, Time: 276.2 seconds
Name: Woodbine Avenue, Instruction: Turn right onto Woodbine Avenue, Distance: 260.6 meters, Time: 187.6 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 437.1 meters, Time: 314.7 seconds
Name: Green Shared Path East, Instruction: Turn slight right onto Green Shared Path East, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Keep right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 281.2 meters, Time: 202.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
