Name: Hampden Street, Instruction: Head northwest on Hampden Street, Distance: 43.7 meters, Time: 31.4 seconds
Name: Cecil Street, Instruction: Turn right onto Cecil Street, Distance: 104.7 meters, Time: 75.4 seconds
Name: -, Instruction: Turn left, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Keep right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Keep right, Distance: 113.8 meters, Time: 82.0 seconds
Name: -, Instruction: Turn slight left, Distance: 45.2 meters, Time: 32.6 seconds
Name: -, Instruction: Keep right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn slight right, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn right, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn left, Distance: 306.0 meters, Time: 220.3 seconds
Name: -, Instruction: Keep left, Distance: 124.8 meters, Time: 89.9 seconds
Name: -, Instruction: Turn right, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn left, Distance: 189.3 meters, Time: 136.3 seconds
Name: -, Instruction: Keep left, Distance: 42.5 meters, Time: 30.6 seconds
Name: -, Instruction: Keep right, Distance: 279.2 meters, Time: 201.1 seconds
Name: Kurraghein Avenue, Instruction: Turn left onto Kurraghein Avenue, Distance: 5.0 meters, Time: 3.6 seconds
Name: Roslyn Street, Instruction: Turn right onto Roslyn Street, Distance: 55.5 meters, Time: 40.0 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn slight left, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Keep left, Distance: 98.9 meters, Time: 71.2 seconds
Name: -, Instruction: Turn left, Distance: 228.8 meters, Time: 164.7 seconds
Name: -, Instruction: Turn slight right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Keep left, Distance: 402.1 meters, Time: 289.5 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 80.2 meters, Time: 57.7 seconds
Name: -, Instruction: Continue straight, Distance: 65.6 meters, Time: 47.2 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
