Name: Rue du Général de Langle de Cary, Instruction: Head southeast on Rue du Général de Langle de Cary, Distance: 21.2 meters, Time: 15.3 seconds
Name: -, Instruction: Turn right, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn slight right, Distance: 102.4 meters, Time: 73.7 seconds
Name: -, Instruction: Keep right, Distance: 316.9 meters, Time: 228.2 seconds
Name: -, Instruction: Turn right, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 216.3 meters, Time: 155.7 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 97.4 meters, Time: 70.1 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: Place Farhat Hached, Instruction: Turn left onto Place Farhat Hached, Distance: 26.2 meters, Time: 18.8 seconds
Name: -, Instruction: Continue straight, Distance: 50.2 meters, Time: 36.1 seconds
Name: -, Instruction: Turn right, Distance: 85.0 meters, Time: 61.2 seconds
Name: Rue Louise Bourgeois, Instruction: Turn right onto Rue Louise Bourgeois, Distance: 115.8 meters, Time: 83.4 seconds
Name: Rue Léo Frankel, Instruction: Continue straight onto Rue Léo Frankel, Distance: 139.7 meters, Time: 100.6 seconds
Name: -, Instruction: Turn right, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: Rue du Chevaleret, Instruction: Turn right onto Rue du Chevaleret, Distance: 101.4 meters, Time: 73.0 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 98.3 meters, Time: 70.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
