Name: Lorong 27A Geylang, Instruction: Head south on Lorong 27A Geylang, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 210.4 meters, Time: 151.5 seconds
Name: Lorong 25 Geylang, Instruction: Turn right onto Lorong 25 Geylang, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn left, Distance: 125.3 meters, Time: 90.2 seconds
Name: -, Instruction: Turn left, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: Sims Avenue, Instruction: Turn left onto Sims Avenue, Distance: 115.3 meters, Time: 83.0 seconds
Name: -, Instruction: Turn right, Distance: 107.3 meters, Time: 77.3 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: Lorong 21A Geylang, Instruction: Turn right onto Lorong 21A Geylang, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Continue straight, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn left, Distance: 241.7 meters, Time: 174.0 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
