Name: Lanark Avenue, Instruction: Head west on Lanark Avenue, Distance: 99.3 meters, Time: 71.5 seconds
Name: Alameda Avenue, Instruction: Turn left onto Alameda Avenue, Distance: 172.1 meters, Time: 123.9 seconds
Name: Clovelly Avenue, Instruction: Turn right onto Clovelly Avenue, Distance: 201.3 meters, Time: 144.9 seconds
Name: -, Instruction: Turn left, Distance: 90.3 meters, Time: 65.0 seconds
Name: Bude Street, Instruction: Turn right onto Bude Street, Distance: 179.2 meters, Time: 129.0 seconds
Name: Vaughan Road, Instruction: Turn left onto Vaughan Road, Distance: 15.9 meters, Time: 11.4 seconds
Name: Onslow Crescent, Instruction: Turn right onto Onslow Crescent, Distance: 146.1 meters, Time: 105.2 seconds
Name: Glenholme Avenue, Instruction: Turn left onto Glenholme Avenue, Distance: 196.8 meters, Time: 141.7 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Amherst Avenue, Instruction: Turn right onto Amherst Avenue, Distance: 86.6 meters, Time: 62.3 seconds
Name: Lauder Avenue, Instruction: Turn left onto Lauder Avenue, Distance: 224.7 meters, Time: 161.8 seconds
Name: Genessee Avenue, Instruction: Turn right onto Genessee Avenue, Distance: 184.0 meters, Time: 132.5 seconds
Name: Westmount Avenue, Instruction: Turn left onto Westmount Avenue, Distance: 222.4 meters, Time: 160.1 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 111.2 meters, Time: 80.1 seconds
Name: -, Instruction: Keep left, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Keep left, Distance: 104.6 meters, Time: 75.3 seconds
Name: -, Instruction: Turn slight left, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Keep left, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 57.3 meters, Time: 41.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
