Name: Avenida Ministro Edgard Romero, Instruction: Head south on Avenida Ministro Edgard Romero, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 151.8 meters, Time: 109.3 seconds
Name: Rua Andrade Figueira, Instruction: Turn right onto Rua Andrade Figueira, Distance: 341.9 meters, Time: 246.2 seconds
Name: Rua Conselheiro Galvão, Instruction: Turn left onto Rua Conselheiro Galvão, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Keep right, Distance: 181.5 meters, Time: 130.7 seconds
Name: -, Instruction: Turn left, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 47.7 meters, Time: 34.4 seconds
Name: Rua Fancisco Batista, Instruction: Turn left onto Rua Fancisco Batista, Distance: 92.7 meters, Time: 66.8 seconds
Name: -, Instruction: Turn right, Distance: 97.3 meters, Time: 70.1 seconds
Name: -, Instruction: Turn slight right, Distance: 40.5 meters, Time: 29.2 seconds
Name: -, Instruction: Turn left, Distance: 134.0 meters, Time: 96.5 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: Rua Padre Manso, Instruction: Turn left onto Rua Padre Manso, Distance: 151.9 meters, Time: 109.3 seconds
Name: -, Instruction: Turn right, Distance: 72.7 meters, Time: 52.3 seconds
Name: -, Instruction: Keep right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Praça Armando Cruz, Instruction: Turn right onto Praça Armando Cruz, Distance: 18.8 meters, Time: 13.5 seconds
Name: Rua Padre Manso, Instruction: Turn slight left onto Rua Padre Manso, Distance: 514.7 meters, Time: 370.6 seconds
Name: Rua Cajuru, Instruction: Turn left onto Rua Cajuru, Distance: 245.9 meters, Time: 177.1 seconds
Name: -, Instruction: Arrive at Rua Cajuru, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
