Name: Allée Georges Pompidou, Instruction: Head north on Allée Georges Pompidou, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Turn slight left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 122.7 meters, Time: 88.3 seconds
Name: -, Instruction: Keep left, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 281.9 meters, Time: 203.0 seconds
Name: -, Instruction: Turn right, Distance: 142.8 meters, Time: 102.8 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 247.1 meters, Time: 177.9 seconds
Name: -, Instruction: Keep right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 75.1 meters, Time: 54.1 seconds
Name: -, Instruction: Turn slight left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight right, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 76.2 meters, Time: 54.9 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 127.3 meters, Time: 91.7 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 85.5 meters, Time: 61.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.1 meters, Time: 2.2 seconds
Name: Rue de Lagny, Instruction: Turn left onto Rue de Lagny, Distance: 9.9 meters, Time: 7.1 seconds
Name: Rue de Lagny, Instruction: Continue straight onto Rue de Lagny, Distance: 233.4 meters, Time: 168.0 seconds
Name: Rue Cristino Garcia, Instruction: Turn right onto Rue Cristino Garcia, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 85.6 meters, Time: 61.6 seconds
Name: -, Instruction: Turn left, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: Rue Cristino Garcia, Instruction: Turn left onto Rue Cristino Garcia, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 99.3 meters, Time: 71.5 seconds
Name: -, Instruction: Turn left, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Keep left, Distance: 73.1 meters, Time: 52.6 seconds
Name: -, Instruction: Turn slight left, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn right, Distance: 158.0 meters, Time: 113.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn slight left, Distance: 119.0 meters, Time: 85.7 seconds
Name: -, Instruction: Turn right, Distance: 43.8 meters, Time: 31.5 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
