Name: Quainton Street, Instruction: Head northeast on Quainton Street, Distance: 188.9 meters, Time: 136.0 seconds
Name: -, Instruction: Turn right, Distance: 42.3 meters, Time: 30.5 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 158.2 meters, Time: 113.9 seconds
Name: -, Instruction: Turn slight right, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Keep right, Distance: 150.7 meters, Time: 108.5 seconds
Name: -, Instruction: Turn slight left, Distance: 85.6 meters, Time: 61.7 seconds
Name: -, Instruction: Turn right, Distance: 82.3 meters, Time: 59.2 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn left, Distance: 52.1 meters, Time: 37.5 seconds
Name: Chartley Avenue, Instruction: Turn right onto Chartley Avenue, Distance: 36.2 meters, Time: 26.1 seconds
Name: Oxgate Lane, Instruction: Keep left onto Oxgate Lane, Distance: 225.4 meters, Time: 162.3 seconds
Name: -, Instruction: Turn right, Distance: 44.5 meters, Time: 32.0 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 48.3 meters, Time: 34.8 seconds
Name: Cairnfield Avenue, Instruction: Turn left onto Cairnfield Avenue, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 46.3 meters, Time: 33.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
