Name: Garfield Street, Instruction: Head northeast on Garfield Street, Distance: 131.0 meters, Time: 94.3 seconds
Name: Bradford Street, Instruction: Turn right onto Bradford Street, Distance: 145.4 meters, Time: 104.7 seconds
Name: Ruskin Street, Instruction: Continue straight onto Ruskin Street, Distance: 157.1 meters, Time: 113.1 seconds
Name: Saint Georges Bay Road, Instruction: Turn right onto Saint Georges Bay Road, Distance: 252.2 meters, Time: 181.6 seconds
Name: -, Instruction: Keep right, Distance: 155.8 meters, Time: 112.1 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Keep right, Distance: 43.0 meters, Time: 30.9 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight left, Distance: 49.7 meters, Time: 35.8 seconds
Name: -, Instruction: Turn slight right, Distance: 155.0 meters, Time: 111.6 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 101.9 meters, Time: 73.4 seconds
Name: -, Instruction: Turn left, Distance: 93.6 meters, Time: 67.4 seconds
Name: Papahia Street, Instruction: Turn right onto Papahia Street, Distance: 188.9 meters, Time: 136.0 seconds
Name: -, Instruction: Turn right, Distance: 160.7 meters, Time: 115.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
