Name: Great North Road, Instruction: Head north on Great North Road, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 127.4 meters, Time: 91.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 357.1 meters, Time: 257.1 seconds
Name: New Lynn to Avondale Path, Instruction: Continue straight onto New Lynn to Avondale Path, Distance: 35.1 meters, Time: 25.3 seconds
Name: Waterview Shared Path, Instruction: Turn left onto Waterview Shared Path, Distance: 6.3 meters, Time: 4.5 seconds
Name: Waterview Shared Path, Instruction: Keep right onto Waterview Shared Path, Distance: 246.3 meters, Time: 177.3 seconds
Name: -, Instruction: Turn left, Distance: 23.5 meters, Time: 16.9 seconds
Name: Waterview Shared Path, Instruction: Turn slight left onto Waterview Shared Path, Distance: 266.4 meters, Time: 191.8 seconds
Name: Southwestern Path, Instruction: Turn left onto Southwestern Path, Distance: 63.6 meters, Time: 45.8 seconds
Name: Southwestern Path, Instruction: Continue straight onto Southwestern Path, Distance: 106.9 meters, Time: 77.0 seconds
Name: -, Instruction: Turn left, Distance: 77.3 meters, Time: 55.7 seconds
Name: -, Instruction: Turn right, Distance: 248.8 meters, Time: 179.1 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 251.0 meters, Time: 180.7 seconds
Name: Olympus Street, Instruction: Turn left onto Olympus Street, Distance: 85.2 meters, Time: 61.4 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
