Name: Avenue Charles de Gaulle, Instruction: Head northwest on Avenue Charles de Gaulle, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn left, Distance: 276.6 meters, Time: 199.2 seconds
Name: Passerelle Paul Doumer, Instruction: Turn right onto Passerelle Paul Doumer, Distance: 146.1 meters, Time: 105.2 seconds
Name: Passage de Seine, Instruction: Turn right onto Passage de Seine, Distance: 96.8 meters, Time: 69.7 seconds
Name: Place de Seine, Instruction: Turn left onto Place de Seine, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn slight left, Distance: 26.1 meters, Time: 18.8 seconds
Name: Voie de l'Ancre, Instruction: Turn slight right onto Voie de l'Ancre, Distance: 41.8 meters, Time: 30.1 seconds
Name: Voie de l'Ancre, Instruction: Continue straight onto Voie de l'Ancre, Distance: 110.3 meters, Time: 79.4 seconds
Name: Allée Mozart, Instruction: Turn left onto Allée Mozart, Distance: 60.6 meters, Time: 43.6 seconds
Name: -, Instruction: Turn left, Distance: 164.3 meters, Time: 118.3 seconds
Name: Allée de Picardie, Instruction: Turn right onto Allée de Picardie, Distance: 158.5 meters, Time: 114.1 seconds
Name: -, Instruction: Turn right, Distance: 290.0 meters, Time: 208.8 seconds
Name: -, Instruction: Turn left, Distance: 43.3 meters, Time: 31.1 seconds
Name: -, Instruction: Turn right, Distance: 60.4 meters, Time: 43.5 seconds
Name: Rue Massenet, Instruction: Continue straight onto Rue Massenet, Distance: 130.1 meters, Time: 93.7 seconds
Name: -, Instruction: Turn left, Distance: 63.8 meters, Time: 45.9 seconds
Name: Rue des Boudoux, Instruction: Turn right onto Rue des Boudoux, Distance: 2.7 meters, Time: 2.0 seconds
Name: Place de l’appel du 1er février 1954, Instruction: Turn left onto Place de l’appel du 1er février 1954, Distance: 42.8 meters, Time: 30.8 seconds
Name: Square des Boudoux, Instruction: Turn left onto Square des Boudoux, Distance: 20.6 meters, Time: 14.8 seconds
Name: Square des Boudoux, Instruction: Turn right onto Square des Boudoux, Distance: 151.3 meters, Time: 108.9 seconds
Name: Rue Lambrechts, Instruction: Turn right onto Rue Lambrechts, Distance: 238.9 meters, Time: 172.0 seconds
Name: Rue Michael Winburn, Instruction: Turn left onto Rue Michael Winburn, Distance: 128.2 meters, Time: 92.3 seconds
Name: Boulevard Aristide Briand, Instruction: Turn right onto Boulevard Aristide Briand, Distance: 77.0 meters, Time: 55.4 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 26.2 meters, Time: 18.8 seconds
Name: -, Instruction: Turn left, Distance: 129.1 meters, Time: 92.9 seconds
Name: -, Instruction: Keep left, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
