Name: Boulevard de la Guyane, Instruction: Head north on Boulevard de la Guyane, Distance: 175.5 meters, Time: 126.4 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.3 seconds
Name: Rue Cailletet, Instruction: Turn left onto Rue Cailletet, Distance: 38.7 meters, Time: 27.9 seconds
Name: Rue Mongenot, Instruction: Turn sharp right onto Rue Mongenot, Distance: 212.9 meters, Time: 153.3 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 30.8 meters, Time: 22.2 seconds
Name: Accès Parking Charles Digeon, Instruction: Turn left onto Accès Parking Charles Digeon, Distance: 6.3 meters, Time: 4.5 seconds
Name: Accès Parking Charles Digeon, Instruction: Continue straight onto Accès Parking Charles Digeon, Distance: 6.6 meters, Time: 4.8 seconds
Name: Avenue de Liège, Instruction: Turn right onto Avenue de Liège, Distance: 22.9 meters, Time: 16.5 seconds
Name: Avenue Gambetta, Instruction: Keep left onto Avenue Gambetta, Distance: 416.4 meters, Time: 299.8 seconds
Name: Avenue Gambetta, Instruction: Continue straight onto Avenue Gambetta, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: Avenue Pasteur, Instruction: Turn left onto Avenue Pasteur, Distance: 15.0 meters, Time: 10.8 seconds
Name: Avenue Aubert, Instruction: Keep left onto Avenue Aubert, Distance: 76.5 meters, Time: 55.1 seconds
Name: Rue Renon, Instruction: Turn left onto Rue Renon, Distance: 197.7 meters, Time: 142.3 seconds
Name: -, Instruction: Turn right, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
