Name: Place du Palais Royal, Instruction: Head northeast on Place du Palais Royal, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 0.5 meters, Time: 0.4 seconds
Name: -, Instruction: Turn left, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn right, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn slight left, Distance: 104.3 meters, Time: 75.1 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Keep right, Distance: 9.5 meters, Time: 6.8 seconds
Name: Rue d'Argenteuil, Instruction: Turn left onto Rue d'Argenteuil, Distance: 288.6 meters, Time: 207.8 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
