Name: Calle Ingenio San Miguelito, Instruction: Head northeast on Calle Ingenio San Miguelito, Distance: 51.3 meters, Time: 36.9 seconds
Name: Calle Ingenio San Gabriel, Instruction: Turn left onto Calle Ingenio San Gabriel, Distance: 65.5 meters, Time: 47.2 seconds
Name: Calle Ingenio San Cristóbal, Instruction: Turn right onto Calle Ingenio San Cristóbal, Distance: 48.0 meters, Time: 34.6 seconds
Name: Calle Ingenio La Joya, Instruction: Turn left onto Calle Ingenio La Joya, Distance: 164.1 meters, Time: 118.2 seconds
Name: Calle Ingenio La Joya, Instruction: Keep right onto Calle Ingenio La Joya, Distance: 139.4 meters, Time: 100.4 seconds
Name: -, Instruction: Turn right, Distance: 65.9 meters, Time: 47.4 seconds
Name: Calzada del Hueso, Instruction: Turn right onto Calzada del Hueso, Distance: 302.4 meters, Time: 217.7 seconds
Name: -, Instruction: Turn right, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: Calzada del Hueso, Instruction: Turn right onto Calzada del Hueso, Distance: 215.0 meters, Time: 154.8 seconds
Name: -, Instruction: Turn right, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Turn left, Distance: 80.5 meters, Time: 58.0 seconds
Name: Avenida Sauzales, Instruction: Turn right onto Avenida Sauzales, Distance: 46.9 meters, Time: 33.8 seconds
Name: -, Instruction: Arrive at Avenida Sauzales, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
