Name: Belle Verde Drive, Instruction: Head northeast on Belle Verde Drive, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn slight left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 408.9 meters, Time: 294.4 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 99.0 meters, Time: 71.3 seconds
Name: Landsberg Way, Instruction: Turn left onto Landsberg Way, Distance: 95.5 meters, Time: 68.7 seconds
Name: Scorpio Place, Instruction: Turn right onto Scorpio Place, Distance: 144.2 meters, Time: 103.8 seconds
Name: -, Instruction: Turn left, Distance: 201.2 meters, Time: 144.9 seconds
Name: -, Instruction: Turn right, Distance: 229.3 meters, Time: 165.1 seconds
Name: -, Instruction: Turn left, Distance: 152.4 meters, Time: 109.7 seconds
Name: -, Instruction: Turn left, Distance: 71.9 meters, Time: 51.8 seconds
Name: -, Instruction: Turn right, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 158.0 meters, Time: 113.8 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: Antares Place, Instruction: Keep left onto Antares Place, Distance: 189.6 meters, Time: 136.5 seconds
Name: -, Instruction: Turn right, Distance: 122.4 meters, Time: 88.1 seconds
Name: Apollo Drive, Instruction: Turn right onto Apollo Drive, Distance: 43.7 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 104.1 meters, Time: 74.9 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: Arrenway Drive, Instruction: Turn left onto Arrenway Drive, Distance: 206.9 meters, Time: 149.0 seconds
Name: Triton Drive, Instruction: Turn right onto Triton Drive, Distance: 75.7 meters, Time: 54.5 seconds
Name: -, Instruction: Turn left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
