Name: Bamfield Place, Instruction: Head east on Bamfield Place, Distance: 69.0 meters, Time: 49.7 seconds
Name: Seacliffe Road, Instruction: Turn left onto Seacliffe Road, Distance: 155.4 meters, Time: 111.8 seconds
Name: Frederick Street, Instruction: Turn left onto Frederick Street, Distance: 46.0 meters, Time: 33.1 seconds
Name: Frederick Street, Instruction: Enter the roundabout and take the 1st exit onto Frederick Street, Distance: 146.4 meters, Time: 105.4 seconds
Name: Carlton Street, Instruction: Turn slight right onto Carlton Street, Distance: 514.1 meters, Time: 370.1 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 288.1 meters, Time: 207.4 seconds
Name: -, Instruction: Turn left, Distance: 210.3 meters, Time: 151.4 seconds
Name: -, Instruction: Keep right, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn right, Distance: 466.5 meters, Time: 335.9 seconds
Name: -, Instruction: Keep right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Keep right, Distance: 243.0 meters, Time: 175.0 seconds
Name: -, Instruction: Keep right, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 62.3 meters, Time: 44.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
