Name: Avenue Alphonse XIII, Instruction: Head southeast on Avenue Alphonse XIII, Distance: 91.7 meters, Time: 66.0 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 111.2 meters, Time: 80.1 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: Rue Berton, Instruction: Turn right onto Rue Berton, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: Avenue de Lamballe, Instruction: Turn left onto Avenue de Lamballe, Distance: 1.5 meters, Time: 1.1 seconds
Name: Rue du Docteur Germain Sée, Instruction: Turn right onto Rue du Docteur Germain Sée, Distance: 93.1 meters, Time: 67.0 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 83.5 meters, Time: 60.1 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn slight right, Distance: 172.4 meters, Time: 124.1 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight left, Distance: 766.3 meters, Time: 551.7 seconds
Name: -, Instruction: Turn right, Distance: 162.8 meters, Time: 117.2 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn slight right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Keep left, Distance: 118.5 meters, Time: 85.3 seconds
Name: -, Instruction: Turn slight left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn slight right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 71.8 meters, Time: 51.7 seconds
Name: -, Instruction: Turn left, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn slight left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 145.2 meters, Time: 104.6 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
