Name: Avenue Sainte-Foy, Instruction: Head northwest on Avenue Sainte-Foy, Distance: 134.2 meters, Time: 96.6 seconds
Name: Boulevard de la Saussaye, Instruction: Turn right onto Boulevard de la Saussaye, Distance: 62.6 meters, Time: 45.1 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn slight right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 184.5 meters, Time: 132.8 seconds
Name: -, Instruction: Turn right, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Turn right, Distance: 48.7 meters, Time: 35.1 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Keep right, Distance: 561.0 meters, Time: 403.9 seconds
Name: -, Instruction: Turn right, Distance: 120.5 meters, Time: 86.8 seconds
Name: Boulevard Georges Seurat, Instruction: Turn right onto Boulevard Georges Seurat, Distance: 194.1 meters, Time: 139.8 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
