Name: Rua Relicário, Instruction: Head south on Rua Relicário, Distance: 65.7 meters, Time: 47.3 seconds
Name: Rua Carmem Cinira, Instruction: Turn left onto Rua Carmem Cinira, Distance: 134.7 meters, Time: 97.0 seconds
Name: Rua Um, Instruction: Keep left onto Rua Um, Distance: 212.5 meters, Time: 153.0 seconds
Name: Rua Dois, Instruction: Turn right onto Rua Dois, Distance: 62.3 meters, Time: 44.9 seconds
Name: Rua Ibirapitanga, Instruction: Turn left onto Rua Ibirapitanga, Distance: 275.7 meters, Time: 198.5 seconds
Name: Rua Tangapeme, Instruction: Continue straight onto Rua Tangapeme, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Keep left, Distance: 89.4 meters, Time: 64.4 seconds
Name: -, Instruction: Turn left, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Keep right, Distance: 119.2 meters, Time: 85.8 seconds
Name: -, Instruction: Turn right, Distance: 27.1 meters, Time: 19.5 seconds
Name: Rua Antônio Austregésilo, Instruction: Turn sharp left onto Rua Antônio Austregésilo, Distance: 19.5 meters, Time: 14.0 seconds
Name: Rua Novo Paraíso, Instruction: Turn right onto Rua Novo Paraíso, Distance: 106.2 meters, Time: 76.5 seconds
Name: Rua Novo Paraíso, Instruction: Continue straight onto Rua Novo Paraíso, Distance: 65.7 meters, Time: 47.3 seconds
Name: Rua Augusto Austragesilo, Instruction: Turn left onto Rua Augusto Austragesilo, Distance: 2.5 meters, Time: 1.8 seconds
Name: Rua Augusto Austragesilo, Instruction: Continue straight onto Rua Augusto Austragesilo, Distance: 54.9 meters, Time: 39.5 seconds
Name: Rua Altino, Instruction: Turn right onto Rua Altino, Distance: 62.9 meters, Time: 45.3 seconds
Name: Rua Altino, Instruction: Turn left onto Rua Altino, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
