Name: West Riding Village Five Complex, Instruction: Head east on West Riding Village Five Complex, Distance: 54.5 meters, Time: 39.2 seconds
Name: Palomino Road, Instruction: Turn left onto Palomino Road, Distance: 49.9 meters, Time: 35.9 seconds
Name: Palomino Road, Instruction: Turn left onto Palomino Road, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 260.8 meters, Time: 187.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 97.2 meters, Time: 70.0 seconds
Name: Appaloosa Crescent, Instruction: Turn left onto Appaloosa Crescent, Distance: 74.7 meters, Time: 53.8 seconds
Name: Appaloosa Crescent, Instruction: Turn left onto Appaloosa Crescent, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Turn right, Distance: 75.9 meters, Time: 54.6 seconds
Name: Cross Road, Instruction: Turn left onto Cross Road, Distance: 3.8 meters, Time: 2.8 seconds
Name: Bateleur Crescent, Instruction: Turn right onto Bateleur Crescent, Distance: 209.0 meters, Time: 150.5 seconds
Name: Bateleur Crescent, Instruction: Turn slight right onto Bateleur Crescent, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Turn left, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn right, Distance: 80.9 meters, Time: 58.2 seconds
Name: Dikkop Crescent, Instruction: Turn slight right onto Dikkop Crescent, Distance: 323.0 meters, Time: 232.5 seconds
Name: Circle Road, Instruction: Turn left onto Circle Road, Distance: 134.5 meters, Time: 96.9 seconds
Name: Olive Road, Instruction: Turn right onto Olive Road, Distance: 83.5 meters, Time: 60.1 seconds
Name: North Road, Instruction: Turn right onto North Road, Distance: 66.0 meters, Time: 47.5 seconds
Name: -, Instruction: Turn left, Distance: 114.8 meters, Time: 82.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
