Name: Anzengruberstraße, Instruction: Head north on Anzengruberstraße, Distance: 79.2 meters, Time: 57.0 seconds
Name: Gröbenbachweg, Instruction: Turn slight right onto Gröbenbachweg, Distance: 276.7 meters, Time: 199.2 seconds
Name: -, Instruction: Turn right, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn left, Distance: 143.3 meters, Time: 103.1 seconds
Name: -, Instruction: Turn slight left, Distance: 44.4 meters, Time: 32.0 seconds
Name: -, Instruction: Continue straight, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Continue straight, Distance: 221.9 meters, Time: 159.8 seconds
Name: -, Instruction: Keep right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Keep left, Distance: 121.2 meters, Time: 87.3 seconds
Name: -, Instruction: Turn slight left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 570.7 meters, Time: 410.9 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
