Name: Gunyah Drive, Instruction: Head north on Gunyah Drive, Distance: 7.6 meters, Time: 5.5 seconds
Name: Bradley Street, Instruction: Turn right onto Bradley Street, Distance: 43.5 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 539.2 meters, Time: 388.2 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 63.4 meters, Time: 45.6 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Keep right, Distance: 74.1 meters, Time: 53.4 seconds
Name: Broadlands Avenue, Instruction: Turn left onto Broadlands Avenue, Distance: 96.5 meters, Time: 69.4 seconds
Name: -, Instruction: Turn left, Distance: 86.2 meters, Time: 62.0 seconds
Name: Branksome Way, Instruction: Turn right onto Branksome Way, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Arrive at Branksome Way, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
