Name: شارع جمال عبد الناصر, Instruction: Head southeast on شارع جمال عبد الناصر, Distance: 137.3 meters, Time: 98.8 seconds
Name: -, Instruction: Keep right, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.7 meters, Time: 12.7 seconds
Name: طريق الشباب, Instruction: Turn sharp right onto طريق الشباب, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 132.3 meters, Time: 95.2 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: طريق الشباب, Instruction: Turn right onto طريق الشباب, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 180.5 meters, Time: 129.9 seconds
Name: -, Instruction: Turn right, Distance: 160.8 meters, Time: 115.8 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 171.9 meters, Time: 123.8 seconds
Name: -, Instruction: Turn left, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Keep right, Distance: 70.2 meters, Time: 50.6 seconds
Name: -, Instruction: Keep left, Distance: 39.5 meters, Time: 28.5 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 128.7 meters, Time: 92.6 seconds
Name: -, Instruction: Turn left, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn right, Distance: 58.8 meters, Time: 42.3 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 188.8 meters, Time: 135.9 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 135.0 meters, Time: 97.2 seconds
Name: -, Instruction: Keep right, Distance: 129.9 meters, Time: 93.5 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 86.4 meters, Time: 62.2 seconds
Name: -, Instruction: Turn right, Distance: 65.5 meters, Time: 47.1 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 36.6 meters, Time: 26.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
