Name: Hinemoa Street, Instruction: Head northwest on Hinemoa Street, Distance: 206.7 meters, Time: 148.8 seconds
Name: Wakanui Street, Instruction: Turn right onto Wakanui Street, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 117.0 meters, Time: 84.2 seconds
Name: -, Instruction: Turn left, Distance: 848.8 meters, Time: 611.1 seconds
Name: -, Instruction: Keep left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn left, Distance: 367.5 meters, Time: 264.6 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn slight right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 333.1 meters, Time: 239.8 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight left, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 116.9 meters, Time: 84.2 seconds
Name: Recreation Drive, Instruction: Turn left onto Recreation Drive, Distance: 172.2 meters, Time: 124.0 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
