Name: York Road, Instruction: Head northwest on York Road, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn right, Distance: 118.4 meters, Time: 85.2 seconds
Name: Chicheley Street, Instruction: Turn left onto Chicheley Street, Distance: 91.0 meters, Time: 65.6 seconds
Name: Belvedere Road, Instruction: Turn right onto Belvedere Road, Distance: 347.2 meters, Time: 250.0 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 65.0 meters, Time: 46.8 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: Waterloo Bridge, Instruction: Turn left onto Waterloo Bridge, Distance: 638.2 meters, Time: 459.5 seconds
Name: -, Instruction: Turn right, Distance: 21.1 meters, Time: 15.2 seconds
Name: Strand, Instruction: Turn right onto Strand, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn slight left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Wellington Street, Instruction: Turn left onto Wellington Street, Distance: 51.3 meters, Time: 37.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 127.5 meters, Time: 91.8 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 182.0 meters, Time: 131.0 seconds
Name: Long Acre, Instruction: Turn right onto Long Acre, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: Long Acre, Instruction: Turn slight left onto Long Acre, Distance: 85.1 meters, Time: 61.3 seconds
Name: -, Instruction: Turn left, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
