Name: Calypso Way, Instruction: Head west on Calypso Way, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 171.8 meters, Time: 123.7 seconds
Name: -, Instruction: Turn right, Distance: 255.2 meters, Time: 183.7 seconds
Name: -, Instruction: Keep left, Distance: 87.3 meters, Time: 62.8 seconds
Name: -, Instruction: Turn right, Distance: 74.5 meters, Time: 53.6 seconds
Name: -, Instruction: Turn right, Distance: 127.4 meters, Time: 91.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 201.5 meters, Time: 145.1 seconds
Name: -, Instruction: Keep right, Distance: 302.4 meters, Time: 217.7 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 252.2 meters, Time: 181.6 seconds
Name: -, Instruction: Keep right, Distance: 81.0 meters, Time: 58.3 seconds
Name: -, Instruction: Turn left, Distance: 160.3 meters, Time: 115.4 seconds
Name: -, Instruction: Keep left, Distance: 305.8 meters, Time: 220.1 seconds
Name: -, Instruction: Turn right, Distance: 210.4 meters, Time: 151.5 seconds
Name: -, Instruction: Turn slight left, Distance: 52.3 meters, Time: 37.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
