Name: Villa Thoréton, Instruction: Head southeast on Villa Thoréton, Distance: 142.3 meters, Time: 102.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 115.8 meters, Time: 83.4 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 169.6 meters, Time: 122.1 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Keep right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 86.2 meters, Time: 62.1 seconds
Name: -, Instruction: Turn right, Distance: 192.0 meters, Time: 138.3 seconds
Name: -, Instruction: Turn slight left, Distance: 336.4 meters, Time: 242.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 71.2 meters, Time: 51.2 seconds
Name: -, Instruction: Turn left, Distance: 203.9 meters, Time: 146.8 seconds
Name: -, Instruction: Turn slight left, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Keep right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 221.6 meters, Time: 159.5 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn slight right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Keep right, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn left, Distance: 89.5 meters, Time: 64.4 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Keep left, Distance: 107.3 meters, Time: 77.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
