Name: Calle Herreros, Instruction: Head east on Calle Herreros, Distance: 225.5 meters, Time: 162.3 seconds
Name: -, Instruction: Turn left, Distance: 33.2 meters, Time: 23.9 seconds
Name: Calle Albañiles, Instruction: Turn sharp right onto Calle Albañiles, Distance: 350.6 meters, Time: 252.4 seconds
Name: -, Instruction: Keep left, Distance: 72.7 meters, Time: 52.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 117.7 meters, Time: 84.7 seconds
Name: Avenida Iztaccíhuatl, Instruction: Turn left onto Avenida Iztaccíhuatl, Distance: 101.6 meters, Time: 73.1 seconds
Name: Calle 1, Instruction: Turn left onto Calle 1, Distance: 96.6 meters, Time: 69.6 seconds
Name: Avenida 5, Instruction: Turn right onto Avenida 5, Distance: 16.7 meters, Time: 12.0 seconds
Name: Calle Francisco Espejel, Instruction: Turn sharp left onto Calle Francisco Espejel, Distance: 688.1 meters, Time: 495.5 seconds
Name: Calzada General Ignacio Zaragoza, Instruction: Turn slight right onto Calzada General Ignacio Zaragoza, Distance: 47.3 meters, Time: 34.1 seconds
Name: -, Instruction: Turn right, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Keep right, Distance: 94.4 meters, Time: 68.0 seconds
Name: -, Instruction: Turn right, Distance: 59.7 meters, Time: 42.9 seconds
Name: -, Instruction: Turn slight left, Distance: 100.5 meters, Time: 72.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
