Name: Sunnyside Avenue, Instruction: Head south on Sunnyside Avenue, Distance: 488.6 meters, Time: 351.8 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 156.0 meters, Time: 112.3 seconds
Name: -, Instruction: Turn slight left, Distance: 168.0 meters, Time: 121.0 seconds
Name: -, Instruction: Keep right, Distance: 198.9 meters, Time: 143.2 seconds
Name: Triller Avenue, Instruction: Turn right onto Triller Avenue, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 99.2 meters, Time: 71.5 seconds
Name: -, Instruction: Keep left, Distance: 109.6 meters, Time: 78.9 seconds
Name: -, Instruction: Keep left, Distance: 112.5 meters, Time: 81.0 seconds
Name: -, Instruction: Turn right, Distance: 108.8 meters, Time: 78.3 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: Dowling Avenue, Instruction: Turn right onto Dowling Avenue, Distance: 84.3 meters, Time: 60.7 seconds
Name: Leopold Street, Instruction: Turn left onto Leopold Street, Distance: 109.8 meters, Time: 79.1 seconds
Name: -, Instruction: Arrive at Leopold Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
