Name: شارع 15, Instruction: Head east on شارع 15, Distance: 60.7 meters, Time: 43.7 seconds
Name: شارع محمد الرفاعي, Instruction: Turn left onto شارع محمد الرفاعي, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn right, Distance: 36.5 meters, Time: 26.2 seconds
Name: -, Instruction: Turn left, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Turn left, Distance: 34.4 meters, Time: 24.8 seconds
Name: شارع محمد فخري, Instruction: Turn right onto شارع محمد فخري, Distance: 163.1 meters, Time: 117.4 seconds
Name: -, Instruction: Turn left, Distance: 42.6 meters, Time: 30.6 seconds
Name: -, Instruction: Turn right, Distance: 110.3 meters, Time: 79.4 seconds
Name: شارع السوق, Instruction: Turn left onto شارع السوق, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 210.5 meters, Time: 151.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
