Name: Haylerstraße, Instruction: Head east on Haylerstraße, Distance: 12.5 meters, Time: 9.0 seconds
Name: Magdalena-Bräu-Weg, Instruction: Turn left onto Magdalena-Bräu-Weg, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 44.0 meters, Time: 31.7 seconds
Name: Donaustaufer Straße, Instruction: Turn left onto Donaustaufer Straße, Distance: 147.1 meters, Time: 105.9 seconds
Name: -, Instruction: Turn right, Distance: 367.0 meters, Time: 264.2 seconds
Name: -, Instruction: Turn left, Distance: 129.2 meters, Time: 93.0 seconds
Name: -, Instruction: Turn right, Distance: 76.0 meters, Time: 54.7 seconds
Name: -, Instruction: Turn left, Distance: 41.2 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 63.8 meters, Time: 45.9 seconds
Name: -, Instruction: Keep left, Distance: 146.2 meters, Time: 105.2 seconds
Name: Trollblumenstraße, Instruction: Turn sharp right onto Trollblumenstraße, Distance: 85.3 meters, Time: 61.5 seconds
Name: Waldvögeleinstraße, Instruction: Turn left onto Waldvögeleinstraße, Distance: 231.2 meters, Time: 166.4 seconds
Name: Schneeglöckchenstraße, Instruction: Turn right onto Schneeglöckchenstraße, Distance: 233.6 meters, Time: 168.2 seconds
Name: -, Instruction: Turn left, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
