Name: Rue Adrien Lesesne, Instruction: Head south on Rue Adrien Lesesne, Distance: 75.0 meters, Time: 54.0 seconds
Name: Rue du Professeur Gosset, Instruction: Turn right onto Rue du Professeur Gosset, Distance: 268.1 meters, Time: 193.0 seconds
Name: -, Instruction: Turn left, Distance: 214.2 meters, Time: 154.2 seconds
Name: -, Instruction: Turn right, Distance: 134.2 meters, Time: 96.6 seconds
Name: -, Instruction: Turn left, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn right, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Keep left, Distance: 213.8 meters, Time: 153.9 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Keep right, Distance: 6.8 meters, Time: 4.9 seconds
Name: Rue du Roi d'Alger, Instruction: Turn left onto Rue du Roi d'Alger, Distance: 52.2 meters, Time: 37.6 seconds
Name: -, Instruction: Arrive at Rue du Roi d'Alger, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
