Name: Concord Avenue, Instruction: Head north on Concord Avenue, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 103.6 meters, Time: 74.6 seconds
Name: Ossington Avenue, Instruction: Turn left onto Ossington Avenue, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 199.4 meters, Time: 143.6 seconds
Name: Shaw Street, Instruction: Turn right onto Shaw Street, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 196.5 meters, Time: 141.5 seconds
Name: Montrose Avenue, Instruction: Turn right onto Montrose Avenue, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 271.3 meters, Time: 195.3 seconds
Name: -, Instruction: Turn slight right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 92.6 meters, Time: 66.7 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn slight right, Distance: 94.8 meters, Time: 68.2 seconds
Name: -, Instruction: Turn slight left, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight right, Distance: 91.6 meters, Time: 65.9 seconds
Name: -, Instruction: Keep left, Distance: 204.7 meters, Time: 147.4 seconds
Name: -, Instruction: Keep left, Distance: 267.0 meters, Time: 192.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
