Name: Rue de Presbourg, Instruction: Head northeast on Rue de Presbourg, Distance: 30.7 meters, Time: 22.1 seconds
Name: Rue Arsène Houssaye, Instruction: Turn right onto Rue Arsène Houssaye, Distance: 147.1 meters, Time: 105.9 seconds
Name: -, Instruction: Keep right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 66.8 meters, Time: 48.1 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 206.0 meters, Time: 148.3 seconds
Name: -, Instruction: Turn left, Distance: 273.0 meters, Time: 196.6 seconds
Name: -, Instruction: Turn left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Keep left, Distance: 241.2 meters, Time: 173.7 seconds
Name: -, Instruction: Turn left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 462.8 meters, Time: 333.2 seconds
Name: Rue de Miromesnil, Instruction: Turn left onto Rue de Miromesnil, Distance: 16.6 meters, Time: 11.9 seconds
Name: Rue de Laborde, Instruction: Turn right onto Rue de Laborde, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 159.6 meters, Time: 114.9 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn right, Distance: 48.8 meters, Time: 35.1 seconds
Name: Avenue César Caire, Instruction: Turn right onto Avenue César Caire, Distance: 10.5 meters, Time: 7.6 seconds
Name: Place Saint-Augustin, Instruction: Keep right onto Place Saint-Augustin, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Arrive at Place Saint-Augustin, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
