Name: Cornelia Road, Instruction: Head east on Cornelia Road, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 181.1 meters, Time: 130.4 seconds
Name: -, Instruction: Turn right, Distance: 167.4 meters, Time: 120.5 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn slight left, Distance: 316.4 meters, Time: 227.8 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 1219.4 meters, Time: 877.9 seconds
Name: Saxby Street, Instruction: Turn right onto Saxby Street, Distance: 103.3 meters, Time: 74.4 seconds
Name: Maunder Avenue, Instruction: Turn left onto Maunder Avenue, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Arrive at Maunder Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
