Name: Davies Street, Instruction: Head north on Davies Street, Distance: 245.9 meters, Time: 177.1 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 59.4 meters, Time: 42.7 seconds
Name: -, Instruction: Turn left, Distance: 75.8 meters, Time: 54.6 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 72.6 meters, Time: 52.3 seconds
Name: Duke Street, Instruction: Turn right onto Duke Street, Distance: 256.9 meters, Time: 185.0 seconds
Name: Manchester Square, Instruction: Turn left onto Manchester Square, Distance: 60.9 meters, Time: 43.8 seconds
Name: Fitzhardinge Street, Instruction: Turn left onto Fitzhardinge Street, Distance: 5.5 meters, Time: 3.9 seconds
Name: Manchester Square, Instruction: Turn right onto Manchester Square, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 124.5 meters, Time: 89.7 seconds
Name: -, Instruction: Turn right, Distance: 58.5 meters, Time: 42.1 seconds
Name: -, Instruction: Turn left, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
