Name: Landshoffstraße, Instruction: Head west on Landshoffstraße, Distance: 80.5 meters, Time: 57.9 seconds
Name: Menterstraße, Instruction: Turn right onto Menterstraße, Distance: 303.4 meters, Time: 218.5 seconds
Name: -, Instruction: Turn slight right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn slight left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 117.4 meters, Time: 84.6 seconds
Name: -, Instruction: Turn right, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 103.6 meters, Time: 74.6 seconds
Name: Sarasatestraße, Instruction: Turn left onto Sarasatestraße, Distance: 335.1 meters, Time: 241.3 seconds
Name: -, Instruction: Turn left, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Verdistraße, Instruction: Turn right onto Verdistraße, Distance: 15.2 meters, Time: 10.9 seconds
Name: Thaddäus-Eck-Straße, Instruction: Turn left onto Thaddäus-Eck-Straße, Distance: 95.1 meters, Time: 68.5 seconds
Name: Thaddäus-Eck-Straße, Instruction: Turn slight right onto Thaddäus-Eck-Straße, Distance: 754.8 meters, Time: 543.4 seconds
Name: -, Instruction: Turn left, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
