Name: Schröfelhofstraße, Instruction: Head northwest on Schröfelhofstraße, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn right, Distance: 607.6 meters, Time: 437.5 seconds
Name: Kurparkstraße, Instruction: Turn slight left onto Kurparkstraße, Distance: 42.1 meters, Time: 30.3 seconds
Name: Fürstenrieder Straße, Instruction: Turn left onto Fürstenrieder Straße, Distance: 63.4 meters, Time: 45.7 seconds
Name: Ammerseestraße, Instruction: Turn right onto Ammerseestraße, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn left, Distance: 425.1 meters, Time: 306.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Keep right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Keep right, Distance: 73.8 meters, Time: 53.1 seconds
Name: -, Instruction: Keep left, Distance: 49.7 meters, Time: 35.8 seconds
Name: -, Instruction: Keep left, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn slight right, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
