Name: Rue Copreaux, Instruction: Head northwest on Rue Copreaux, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn right, Distance: 106.1 meters, Time: 76.4 seconds
Name: -, Instruction: Turn slight left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 99.0 meters, Time: 71.3 seconds
Name: -, Instruction: Turn slight left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight right, Distance: 160.3 meters, Time: 115.4 seconds
Name: -, Instruction: Turn slight left, Distance: 112.0 meters, Time: 80.6 seconds
Name: -, Instruction: Turn slight left, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 85.1 meters, Time: 61.2 seconds
Name: -, Instruction: Turn slight right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Keep left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn slight right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn slight right, Distance: 108.2 meters, Time: 77.9 seconds
Name: -, Instruction: Turn right, Distance: 406.2 meters, Time: 292.5 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 352.7 meters, Time: 253.9 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight left, Distance: 378.6 meters, Time: 272.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
